company,title,location,category,url,source,first_seen,last_seen,date_posted,season_confidence,in_simplify,active
Tighe & Bond,GIS Intern - Geographic Information Systems,"Worcester, MA",General Technology,https://careers-tighebond.icims.com/jobs/1892/job?mobile=true&needsRedirect=false,github,2026-09-15,2026-09-15,,medium,True,True
Tive,Software Engineer Co-op,"Boston, MA",Software Engineering,https://ats.rippling.com/tive-careers/jobs/c88ab3d3-a8e7-4639-b95b-d6c9b5290dd0,github,2026-09-14,2026-09-15,,medium,True,True
RTX,Test Engineering Analysis Intern (Summer 2027)(Onsite),US-CT-EAST HARTFORD-ETC ~ 400 Main St ~ BLDG ETC,Hardware / Engineering,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-CT-EAST-HARTFORD-ETC--400-Main-St--BLDG-ETC/Test-Engineering-Analysis-Intern--Summer-2027--Onsite-_01871446,workday,2026-09-14,2026-09-15,2026-09-14,high,False,True
RTX,Systems Engineering Summer Intern- Onsite,US-CT-WINDSOR LOCKS-B1A ~ 1 Hamilton Rd ~ BLDG 1A,Hardware / Engineering,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-CT-WINDSOR-LOCKS-B1A--1-Hamilton-Rd--BLDG-1A/Systems-Engineering-Summer-Intern--Onsite_01872942,workday,2026-09-14,2026-09-15,2026-09-14,medium,False,True
RTX,Systems Engineering Intern (Onsite),US-CT-MIDDLETOWN-220A ~ Aircraft Rd ~ BLDG 220A,Hardware / Engineering,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-CT-MIDDLETOWN-220A--Aircraft-Rd--BLDG-220A/Systems-Engineering-Intern--Onsite-_01871782,workday,2026-09-14,2026-09-15,2026-09-14,medium,False,True
RTX,Project Engineering Intern (Summer 2027)(Onsite),"US-ME-NORTH BERWICK-113 ~ 113 Wells St ~ WELLS, Rte 9",Hardware / Engineering,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-ME-NORTH-BERWICK-113--113-Wells-St--WELLS-Rte-9/Project-Engineering-Intern--Summer-2027--Onsite-_01872630,workday,2026-09-14,2026-09-15,2026-09-14,high,False,True
RTX,Mechanical Design Engineering Intern (Summer 2027),US-CT-WINDSOR LOCKS-B1 ~ 1 Hamilton Rd ~ BLDG 1,Hardware / Engineering,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-CT-WINDSOR-LOCKS-B1--1-Hamilton-Rd--BLDG-1/Mechanical-Design-Engineering-Intern--Summer-2027-_01873000,workday,2026-09-14,2026-09-15,2026-09-14,high,False,True
RTX,Materials & Processes and Mechanical Disciplines Engineering Intern (Summer 2027) (Onsite),US-CT-EAST HARTFORD-ETC ~ 400 Main St ~ BLDG ETC,Hardware / Engineering,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-CT-EAST-HARTFORD-ETC--400-Main-St--BLDG-ETC/Materials---Processes-and-Mechanical-Disciplines-Engineering-Intern--Summer-2027---Onsite-_01871669,workday,2026-09-14,2026-09-15,2026-09-14,high,False,True
RTX,Engineering Services Intern (Summer 2027),US-CT-WINDSOR LOCKS-B1A ~ 1 Hamilton Rd ~ BLDG 1A,Hardware / Engineering,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/US-CT-WINDSOR-LOCKS-B1A--1-Hamilton-Rd--BLDG-1A/Engineering-Services-Intern--Summer-2027-_01872640,workday,2026-09-14,2026-09-15,2026-09-13,high,False,True
RTX,Electrical Engineer Intern - RDP,"Tewksbury, MA",Hardware / Engineering,https://globalhr.wd5.myworkdayjobs.com/Private_Posting_No_TMP/job/US-MA-TEWKSBURY-TB1--50-Apple-Hill-Dr--ASSABET-BLDG/RDP-Engineering-Intern--Summer-2027-_01866242,github,2026-09-14,2026-09-15,,medium,True,True
OpenGov,Software Engineer Intern,"Boston, MA",Software Engineering,https://jobs.ashbyhq.com/opengov/c31622c1-be01-4d4a-b7cf-d116be84cc08?embed=true,github,2026-09-14,2026-09-15,,medium,True,True
National Life,IT Application Development Intern,"Montpelier, VT; Addison, TX",General Technology,https://job-boards.greenhouse.io/nationallifeinsurancecompany/jobs/4402184009,github,2026-09-14,2026-09-15,,medium,True,True
Merck,2027 Future Talent Program – Pharmaceutical Analysis and Digital Technology (PADT) and Large Molecule Analytical (LMA) - Intern,USA - New Jersey - Rahway; USA - Massachusetts - Boston (MA Parcel B Laboratory); USA - Pennsylvania - West Point; USA - California - South San Francisco (Grand Ave),Statistics / Analytics,https://msd.wd5.myworkdayjobs.com/searchjobs/job/USA---New-Jersey---Rahway/XMLNAME-2027-Future-Talent-Program---Pharmaceutical-Analysis-and-Digital-Technology--PADT--and-Large-Molecule-Analytical--LMA----Intern_R416765,workday,2026-09-14,2026-09-15,2026-09-08,medium,False,True
Google,User Experience Engineer Intern - PhD - Summer 2027 🎓,"Palo Alto, CA; Cambridge, MA; Madison, WI; Seattle, WA; Washington, DC; SF; Austin, TX; LA; Irvine, CA; San Bruno, CA; Redmond, WA; Santa Cruz, CA; Chicago, IL; Goleta, CA; Pittsburgh, PA; Kirkland, WA; Reston, VA; NYC; Bellevue, WA; Sunnyvale, CA; Mountain View, CA; Portland, OR; Boulder, CO; Atlanta, GA; San Diego, CA",Hardware / Engineering,https://www.google.com/about/careers/applications/jobs/results/117572151191446214,github,2026-09-14,2026-09-15,,high,True,True
Google,User Experience Engineer Intern,"Palo Alto, CA; Cambridge, MA; Madison, WI; Seattle, WA; Washington, DC; SF; Austin, TX; LA; Irvine, CA; San Bruno, CA; Redmond, WA; Santa Cruz, CA; Chicago, IL; Goleta, CA; Pittsburgh, PA; Kirkland, WA; Reston, VA; NYC; Bellevue, WA; Sunnyvale, CA; Mountain View, CA; Portland, OR; Boulder, CO; Atlanta, GA; San Diego, CA",Hardware / Engineering,https://www.google.com/about/careers/applications/jobs/results/112499004540887750,github,2026-09-14,2026-09-15,,medium,True,True
Google,Hardware Engineer Intern - PhD 🎓,"Palo Alto, CA; Cambridge, MA; Madison, WI; Seattle, WA; Washington, DC; SF; Austin, TX; LA; San Jose, CA; Irvine, CA; South SF; Redwood City, CA; Raleigh, NC; San Bruno, CA; Redmond, WA; Durham, NC; Ann Arbor, MI; Santa Cruz, CA; Chicago, IL; Goleta, CA; Pittsburgh, PA; Kirkland, WA; Reston, VA; NYC; Bellevue, WA; Sunnyvale, CA; Mountain View, CA; Portland, OR; Boulder, CO; Atlanta, GA; San Diego, CA",Hardware / Engineering,https://www.google.com/about/careers/applications/jobs/results/97352132356645574,github,2026-09-14,2026-09-15,,medium,True,True
Google,Hardware Engineer Intern,"Palo Alto, CA; Cambridge, MA; Madison, WI; Seattle, WA; Washington, DC; SF; Austin, TX; LA; San Jose, CA; Irvine, CA; South SF; Redwood City, CA; Raleigh, NC; San Bruno, CA; Redmond, WA; Durham, NC; Ann Arbor, MI; Santa Cruz, CA; Chicago, IL; Goleta, CA; Pittsburgh, PA; Kirkland, WA; Reston, VA; NYC; Bellevue, WA; Sunnyvale, CA; Mountain View, CA; Portland, OR; Boulder, CO; Atlanta, GA; San Diego, CA",Hardware / Engineering,https://www.google.com/about/careers/applications/jobs/results/122803627516404422,github,2026-09-14,2026-09-15,,medium,True,True
Google,Data Scientist Research Intern - PhD 🎓,"Palo Alto, CA; Cambridge, MA; Madison, WI; Seattle, WA; Washington, DC; SF; Austin, TX; LA; San Jose, CA; Irvine, CA; South SF; Redwood City, CA; Raleigh, NC; San Bruno, CA; Redmond, WA; Durham, NC; Ann Arbor, MI; Santa Cruz, CA; Chicago, IL; Goleta, CA; Pittsburgh, PA; Kirkland, WA; Reston, VA; NYC; Bellevue, WA; Sunnyvale, CA; Mountain View, CA; Portland, OR; Boulder, CO; Atlanta, GA; San Diego, CA",Data Science,https://www.google.com/about/careers/applications/jobs/results/89965613241246406,github,2026-09-14,2026-09-15,,medium,True,True
Google,Data Scientist Intern - Product 🎓,"Palo Alto, CA; Cambridge, MA; Madison, WI; Seattle, WA; Washington, DC; SF; Austin, TX; LA; San Jose, CA; Irvine, CA; South SF; Redwood City, CA; Raleigh, NC; San Bruno, CA; Redmond, WA; Durham, NC; Ann Arbor, MI; Santa Cruz, CA; Chicago, IL; Goleta, CA; Pittsburgh, PA; Kirkland, WA; Reston, VA; NYC; Bellevue, WA; Sunnyvale, CA; Mountain View, CA; Portland, OR; Boulder, CO; Atlanta, GA; San Diego, CA",Data Science,https://www.google.com/about/careers/applications/jobs/results/119184035237765830,github,2026-09-14,2026-09-15,,medium,True,True
Google,Business Data Scientist Intern 🎓,"Palo Alto, CA; Cambridge, MA; Madison, WI; Seattle, WA; Washington, DC; SF; Austin, TX; LA; San Jose, CA; Irvine, CA; South SF; Redwood City, CA; Raleigh, NC; San Bruno, CA; Redmond, WA; Durham, NC; Ann Arbor, MI; Santa Cruz, CA; Chicago, IL; Goleta, CA; Pittsburgh, PA; Kirkland, WA; Reston, VA; NYC; Bellevue, WA; Sunnyvale, CA; Mountain View, CA; Portland, OR; Boulder, CO; Atlanta, GA; San Diego, CA",Data Science,https://www.google.com/about/careers/applications/jobs/results/134577198026629830,github,2026-09-14,2026-09-15,,medium,True,True
Dell Technologies,Software Engineering Intern,"Round Rock, TX; Hopkinton, MA",Software Engineering,https://iawmqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/careers/job/297773,github,2026-09-14,2026-09-15,,medium,True,True
Dell Technologies,Hardware Engineering Intern - Infrastructure Solutions Group,"Round Rock, TX; Hopkinton, MA",Hardware / Engineering,https://iawmqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/careers/job/297770,github,2026-09-14,2026-09-15,,medium,True,True
Cyvl,Hardware Engineering Intern,"Boston, Massachusetts; Somerville, Massachusetts",Hardware / Engineering,https://jobs.ashbyhq.com/cyvl/3590960d-4d02-48bb-a335-cb82e121a01e,ashby,2026-09-14,2026-09-15,2026-09-14,medium,False,True
